"INQ244.Code.or.Value","INQ244.Value.Description","INQ244.Count","INQ244.Cumulative","INQ244.Skip.to.Item"
"1","Yes",717,717,"End of Section"
"2","No",4432,5149,""
"7","Refused",112,5261,"End of Section"
"9","Don't know",105,5366,"End of Section"
".","Missing",4783,10149,""
