"WHQ060.Code.or.Value","WHQ060.Value.Description","WHQ060.Count","WHQ060.Cumulative","WHQ060.Skip.to.Item"
"1","Yes",788,788,"WHD080A"
"2","No",450,1238,""
"7","Refused",0,1238,""
"9","Don't know",1,1239,""
".","Missing",5225,6464,""
