"BMXSUB.Code.or.Value","BMXSUB.Value.Description","BMXSUB.Count","BMXSUB.Cumulative","BMXSUB.Skip.to.Item"
"2.8 to 43.2","Range of Values",8553,8553,NA
".","Missing",1924,10477,NA
