"BIXC031K.Code.or.Value","BIXC031K.Value.Description","BIXC031K.Count","BIXC031K.Cumulative","BIXC031K.Skip.to.Item"
"27.88 to 375.99","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
