"BMXWT.Code.or.Value","BMXWT.Value.Description","BMXWT.Count","BMXWT.Cumulative","BMXWT.Skip.to.Item"
"3.2 to 242.6","Range of Values",8580,8580,NA
".","Missing",124,8704,NA
