"HSD010.Code.or.Value","HSD010.Value.Description","HSD010.Count","HSD010.Cumulative","HSD010.Skip.to.Item"
"1","Excellent,",671,671,NA
"2","Very good,",1742,2413,NA
"3","Good,",2516,4929,NA
"4","Fair, or",1181,6110,NA
"5","Poor?",244,6354,NA
"7","Refused",0,6354,NA
"9","Don't know",2,6356,NA
".","Missing",2951,9307,NA
