"MSDPFVEL.Code.or.Value","MSDPFVEL.Value.Description","MSDPFVEL.Count","MSDPFVEL.Cumulative","MSDPFVEL.Skip.to.Item"
"-5.25 to 65.5","Range of Values",1500,1500,NA
".","Missing",656,2156,NA
