"DR1IIRON.Code.or.Value","DR1IIRON.Value.Description","DR1IIRON.Count","DR1IIRON.Cumulative","DR1IIRON.Skip.to.Item"
"0 to 58.12","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
