"WTSAF2YR.Code.or.Value","WTSAF2YR.Value.Description","WTSAF2YR.Count","WTSAF2YR.Cumulative","WTSAF2YR.Skip.to.Item"
"13612.331812 to 521632.18583","Range of Values",2743,2743,NA
"0","No Lab Result",448,3191,NA
".","Missing",0,3191,NA
