"LBCBR1.Code.or.Value","LBCBR1.Value.Description","LBCBR1.Count","LBCBR1.Cumulative","LBCBR1.Skip.to.Item"
"0.9192 to 4.473","Range of Values",299,299,NA
".","Missing",2,301,NA
