"SXQ724.Code.or.Value","SXQ724.Value.Description","SXQ724.Count","SXQ724.Cumulative","SXQ724.Skip.to.Item"
"1 to 500","Range of Values",1519,1519,NA
"77777","Refused",6,1525,NA
"99999","Don't know",2,1527,NA
".","Missing",3269,4796,NA
