"WBXP040.Code.or.Value","WBXP040.Value.Description","WBXP040.Count","WBXP040.Cumulative","WBXP040.Skip.to.Item"
"-175.6948 to 167.9201","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
