"DRD370BQ.Code.or.Value","DRD370BQ.Value.Description","DRD370BQ.Count","DRD370BQ.Cumulative","DRD370BQ.Skip.to.Item"
"1 to 60","Range of Values",2073,2073,NA
".","Missing",7689,9762,NA
