"DSQTVB6.Code.or.Value","DSQTVB6.Value.Description","DSQTVB6.Count","DSQTVB6.Cumulative","DSQTVB6.Skip.to.Item"
"0.012 to 301.9","Range of Values",2515,2515,NA
".","Missing",7456,9971,NA
