"DID060Q.Code.or.Value","DID060Q.Value.Description","DID060Q.Count","DID060Q.Cumulative","DID060Q.Skip.to.Item"
"1 to 47","Range of Values",143,143,NA
"77777","Refused",0,143,NA
"99999","Don't know",0,143,NA
".","Missing",9502,9645,NA
