"URDFLOW3.Code.or.Value","URDFLOW3.Value.Description","URDFLOW3.Count","URDFLOW3.Cumulative","URDFLOW3.Skip.to.Item"
"0 to 4.348","Range of Values",64,64,NA
".","Missing",7757,7821,NA
