"DS2ILZ.Code.or.Value","DS2ILZ.Value.Description","DS2ILZ.Count","DS2ILZ.Cumulative","DS2ILZ.Skip.to.Item"
"37.5 to 150000","Range of Values",574,574,NA
".","Missing",5329,5903,NA
