"LBX178LA.Code.or.Value","LBX178LA.Value.Description","LBX178LA.Count","LBX178LA.Cumulative","LBX178LA.Skip.to.Item"
"0.6 to 46.8","Range of Values",2299,2299,NA
".","Missing",248,2547,NA
