"AUXU6KR.Code.or.Value","AUXU6KR.Value.Description","AUXU6KR.Count","AUXU6KR.Cumulative","AUXU6KR.Skip.to.Item"
"-10 to 120","Range of Values",1676,1676,NA
"666","No response",6,1682,NA
"888","Could not obtain",0,1682,NA
".","Missing",125,1807,NA
