"BIXS159K.Code.or.Value","BIXS159K.Value.Description","BIXS159K.Count","BIXS159K.Cumulative","BIXS159K.Skip.to.Item"
"54.37 to 868.03","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
