"LBDD03LC.Code.or.Value","LBDD03LC.Value.Description","LBDD03LC.Count","LBDD03LC.Cumulative","LBDD03LC.Skip.to.Item"
"0","detectable result",1147,1147,NA
"1","below detectable limit",87,1234,NA
".","Missing",1313,2547,NA
