"BPQ150D.Code.or.Value","BPQ150D.Value.Description","BPQ150D.Count","BPQ150D.Cumulative","BPQ150D.Skip.to.Item"
"1","Yes",67,67,NA
"2","No",7336,7403,NA
".","Missing",2240,9643,NA
