"DEA6RTYP.Code.or.Value","DEA6RTYP.Value.Description","DEA6RTYP.Count","DEA6RTYP.Cumulative","DEA6RTYP.Skip.to.Item"
"6","6",260,260,NA
".","Missing",2732,2992,NA
