"DR2IP225.Code.or.Value","DR2IP225.Value.Description","DR2IP225.Count","DR2IP225.Cumulative","DR2IP225.Skip.to.Item"
"0 to 0.548","Range of Values",131205,131205,NA
".","Missing",946,132151,NA
