"LBDINLC.Code.or.Value","LBDINLC.Value.Description","LBDINLC.Count","LBDINLC.Cumulative","LBDINLC.Skip.to.Item"
"0","0",2920,2920,NA
"1","1",1,2921,NA
".","Missing",270,3191,NA
