"URXUUR.Code.or.Value","URXUUR.Value.Description","URXUUR.Count","URXUUR.Cumulative","URXUUR.Skip.to.Item"
"0.0012 to 0.633","Range of Values",2576,2576,NA
".","Missing",116,2692,NA
