"DXDRATOT.Code.or.Value","DXDRATOT.Value.Description","DXDRATOT.Count","DXDRATOT.Cumulative","DXDRATOT.Skip.to.Item"
"918.9 to 13308.5","Range of Values",4926,4926,NA
".","Missing",854,5780,NA
