"TYXP249.Code.or.Value","TYXP249.Value.Description","TYXP249.Count","TYXP249.Cumulative","TYXP249.Skip.to.Item"
"-298 to -25","Range of Values",154,154,NA
".","Missing",8315,8469,NA
