"MCQ370a.Code.or.Value","MCQ370a.Value.Description","MCQ370a.Count","MCQ370a.Cumulative","MCQ370a.Skip.to.Item"
"1","Yes",3923,3923,NA
"2","No",2537,6460,NA
"7","Refused",1,6461,NA
"9","Don't know",3,6464,NA
".","Missing",3306,9770,NA
