"WBXA009.Code.or.Value","WBXA009.Value.Description","WBXA009.Count","WBXA009.Cumulative","WBXA009.Skip.to.Item"
"-12.764 to 0.9995","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
