"DR2TS180.Code.or.Value","DR2TS180.Value.Description","DR2TS180.Count","DR2TS180.Cumulative","DR2TS180.Skip.to.Item"
"0 to 41.828","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
