"DXXSATV.Code.or.Value","DXXSATV.Value.Description","DXXSATV.Count","DXXSATV.Cumulative","DXXSATV.Skip.to.Item"
"103.93 to 5691.49","Range of Values",4696,4696,NA
".","Missing",996,5692,NA
