"TYXP148.Code.or.Value","TYXP148.Value.Description","TYXP148.Count","TYXP148.Cumulative","TYXP148.Skip.to.Item"
"-295 to 20","Range of Values",6435,6435,NA
".","Missing",2034,8469,NA
