"BIXC043K.Code.or.Value","BIXC043K.Value.Description","BIXC043K.Count","BIXC043K.Cumulative","BIXC043K.Skip.to.Item"
"31.46 to 198.44","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
