"LBDBGELC.Code.or.Value","LBDBGELC.Value.Description","LBDBGELC.Count","LBDBGELC.Cumulative","LBDBGELC.Skip.to.Item"
"0","At or above the detection limit",53,53,NA
"1","Below lower detection limit",4883,4936,NA
".","Missing",879,5815,NA
