"DS1TCHOL.Code.or.Value","DS1TCHOL.Value.Description","DS1TCHOL.Count","DS1TCHOL.Cumulative","DS1TCHOL.Skip.to.Item"
"1.7 to 62.5","Range of Values",245,245,NA
".","Missing",10008,10253,NA
