"LBCGHCLA.Code.or.Value","LBCGHCLA.Value.Description","LBCGHCLA.Count","LBCGHCLA.Cumulative","LBCGHCLA.Skip.to.Item"
"0.5 to 1","Range of Values",264,264,NA
".","Missing",0,264,NA
