"OPDDFAN.Code.or.Value","OPDDFAN.Value.Description","OPDDFAN.Count","OPDDFAN.Cumulative","OPDDFAN.Skip.to.Item"
"0","No",2308,2308,NA
"1","Questionable",91,2399,NA
"2","Yes",22,2421,NA
".","Missing",513,2934,NA
