"DSQIKCAL.Code.or.Value","DSQIKCAL.Value.Description","DSQIKCAL.Count","DSQIKCAL.Cumulative","DSQIKCAL.Skip.to.Item"
"1 to 351","Range of Values",2190,2190,NA
".","Missing",6079,8269,NA
