"MCQ260FA.Code.or.Value","MCQ260FA.Value.Description","MCQ260FA.Count","MCQ260FA.Cumulative","MCQ260FA.Skip.to.Item"
"1","Mother",684,684,"MCQ250G"
"77","Refused",0,684,"MCQ250G"
"99","Don't know",2,686,"MCQ250G"
".","Missing",9784,10470,""
