"HOD050.Code.or.Value","HOD050.Value.Description","HOD050.Count","HOD050.Cumulative","HOD050.Skip.to.Item"
"1 to 12","Range of Values",10150,10150,NA
"13","13 or more",69,10219,NA
"777","Refused",5,10224,NA
"999","Don't know",15,10239,NA
".","Missing",109,10348,NA
