"DXXVFATA.Code.or.Value","DXXVFATA.Value.Description","DXXVFATA.Count","DXXVFATA.Cumulative","DXXVFATA.Skip.to.Item"
"0 to 376.3","Range of Values",5095,5095,NA
".","Missing",685,5780,NA
