"LBDF01LC.Code.or.Value","LBDF01LC.Value.Description","LBDF01LC.Count","LBDF01LC.Cumulative","LBDF01LC.Skip.to.Item"
"0","detectable result",5,5,NA
"1","below detectable limit",1898,1903,NA
".","Missing",371,2274,NA
