"DBQ095Z.Code.or.Value","DBQ095Z.Value.Description","DBQ095Z.Count","DBQ095Z.Cumulative","DBQ095Z.Skip.to.Item"
"1","Ordinary salt [includes regular iodized salt, sea salt and seasoning salts made with regular salt]",4976,4976,""
"2","Lite salt",321,5297,""
"3","Salt substitute",102,5399,""
"4","Doesn't use or add salt products at the table",3258,8657,"DRQSPREP"
"91","Other",0,8657,""
"99","Don't know",126,8783,"DRQSPREP"
".","Missing",1030,9813,""
