"LBC167LA.Code.or.Value","LBC167LA.Value.Description","LBC167LA.Count","LBC167LA.Cumulative","LBC167LA.Skip.to.Item"
"0.1061 to 8.141","Range of Values",292,292,NA
".","Missing",9,301,NA
