"CSQ240.Code.or.Value","CSQ240.Value.Description","CSQ240.Count","CSQ240.Cumulative","CSQ240.Skip.to.Item"
"1","Yes",422,422,NA
"2","No",3172,3594,NA
"7","Refused",1,3595,NA
"9","Don't know",8,3603,NA
".","Missing",0,3603,NA
