"BPQ100B.Code.or.Value","BPQ100B.Value.Description","BPQ100B.Count","BPQ100B.Cumulative","BPQ100B.Skip.to.Item"
"1","Yes",636,636,NA
"2","No",190,826,NA
"7","Refused",0,826,NA
"9","Don't know",0,826,NA
".","Missing",5387,6213,NA
