"WBXA018.Code.or.Value","WBXA018.Value.Description","WBXA018.Count","WBXA018.Cumulative","WBXA018.Skip.to.Item"
"-13.2025 to 0.9994","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
