"URXUMA.Code.or.Value","URXUMA.Value.Description","URXUMA.Count","URXUMA.Cumulative","URXUMA.Skip.to.Item"
"0.21 to 24440","Range of Values",7878,7878,NA
".","Missing",254,8132,NA
