"DR2TCALC.Code.or.Value","DR2TCALC.Value.Description","DR2TCALC.Count","DR2TCALC.Cumulative","DR2TCALC.Skip.to.Item"
"0 to 6051","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
