"WHD130.Code.or.Value","WHD130.Value.Description","WHD130.Count","WHD130.Cumulative","WHD130.Skip.to.Item"
"41 to 80","Range of Values",2415,2415,NA
"7777","Refused",0,2415,NA
"9999","Don't know",71,2486,NA
".","Missing",3727,6213,NA
