"DR1TZINC.Code.or.Value","DR1TZINC.Value.Description","DR1TZINC.Count","DR1TZINC.Cumulative","DR1TZINC.Skip.to.Item"
"0 to 196.92","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
