"WBXF072.Code.or.Value","WBXF072.Value.Description","WBXF072.Count","WBXF072.Cumulative","WBXF072.Skip.to.Item"
"2911.3064 to 2911.3064","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
