"BAXFTC22.Code.or.Value","BAXFTC22.Value.Description","BAXFTC22.Count","BAXFTC22.Cumulative","BAXFTC22.Skip.to.Item"
"3 to 10","Range of Values",9,9,NA
".","Missing",1002,1011,NA
