"ORXH42.Code.or.Value","ORXH42.Value.Description","ORXH42.Count","ORXH42.Cumulative","ORXH42.Skip.to.Item"
"1","Positive",10,10,NA
"2","Negative",4837,4847,NA
"3","Not evaluated",455,5302,NA
".","Missing",0,5302,NA
