"URDTNE3.Code.or.Value","URDTNE3.Value.Description","URDTNE3.Count","URDTNE3.Cumulative","URDTNE3.Skip.to.Item"
"0.2749 to 429.6","Range of Values",548,548,NA
".","Missing",2431,2979,NA
