"BIXC005K.Code.or.Value","BIXC005K.Value.Description","BIXC005K.Count","BIXC005K.Cumulative","BIXC005K.Skip.to.Item"
"14.06 to 230.69","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
