"ACD010A.Code.or.Value","ACD010A.Value.Description","ACD010A.Count","ACD010A.Cumulative","ACD010A.Skip.to.Item"
"1","English",4351,4351,NA
"7","Refused",3,4354,NA
"9","Don't know",1,4355,NA
".","Missing",2940,7295,NA
