"SSGENXL.Code.or.Value","SSGENXL.Value.Description","SSGENXL.Count","SSGENXL.Cumulative","SSGENXL.Skip.to.Item"
"0","At or above the detection limit",1,1,NA
"1","Below lower detection limit",1671,1672,NA
".","Missing",0,1672,NA
