"HSQ510.Code.or.Value","HSQ510.Value.Description","HSQ510.Count","HSQ510.Cumulative","HSQ510.Skip.to.Item"
"1","Yes",908,908,NA
"2","No",7703,8611,NA
"7","Refused",1,8612,NA
"9","Don't know",17,8629,NA
".","Missing",678,9307,NA
