"LBCBR66L.Code.or.Value","LBCBR66L.Value.Description","LBCBR66L.Count","LBCBR66L.Cumulative","LBCBR66L.Skip.to.Item"
"0.1626 to 1.312","Range of Values",251,251,NA
".","Missing",0,251,NA
