"PSQ170D.Code.or.Value","PSQ170D.Value.Description","PSQ170D.Count","PSQ170D.Cumulative","PSQ170D.Skip.to.Item"
"1","Yes",1,1,NA
"2","No",19,20,NA
"7","Refused",0,20,NA
"9","Don't know",3,23,NA
".","Missing",98,121,NA
