"PAQ759a.Code.or.Value","PAQ759a.Value.Description","PAQ759a.Count","PAQ759a.Cumulative","PAQ759a.Skip.to.Item"
"1","BASEBALL/SOFTBALL",132,132,NA
"77","Refused",0,132,NA
"99","Don't know",3,135,NA
".","Missing",9120,9255,NA
