"WBXF088.Code.or.Value","WBXF088.Value.Description","WBXF088.Count","WBXF088.Cumulative","WBXF088.Skip.to.Item"
"4621.4108 to 4621.4108","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
